0.11031E+03 0.33489E+00 0.00000E+01 745110 0 0 36337 0.32955E+03 0.00000E+01 0.11031E+03 0.00000E+01 0.00000E+01 0
1 115.88 4.285 3.6978 10536.0 115.88
2 112.18 1.7406 2.1942 6589.4 112.18
3 110.48 0.87405 1.5823 3095.0 110.48
4 114.93 3.9814 3.4642 8225.2 114.93
5 111.51 1.7502 2.2197 4836.3 111.51
6 111.08 0.88102 1.5863 3766.3 111.08
7 117.95 5.5741 4.7258 26353.0 117.95
8 112.86 1.7106 2.1435 4620.7 112.86
9 111.48 0.85934 1.5417 2497.3 111.48
10 109.33 4.1408 3.7874 11450.0 109.33
11 110.58 1.76 2.2509 4885.4 110.58
12 109.95 0.88297 1.6062 2760.5 109.95
13 111.61 4.5711 4.0955 14515.0 111.61
14 106.32 1.7093 2.2737 6611.6 106.32
15 109.66 0.89407 1.6306 2908.6 109.66
16 110.89 4.2725 3.853 11482.0 110.89
17 110.82 1.6823 2.1469 5037.0 110.82
18 110.13 0.88419 1.6058 3425.5 110.13
19 105.93 4.2128 3.9769 14868.0 105.93
20 108.62 1.705 2.2198 7497.5 108.62
21 109.13 0.86769 1.5901 3307.9 109.13
22 118.91 5.6085 4.7167 26176.0 118.91
23 107.78 1.775 2.329 7900.4 107.78
24 110.33 0.88895 1.6115 2591.7 110.33
25 121.69 17.896 10.399 58704.0 121.69
26 108.72 3.8159 3.5097 10566.0 108.72
27 110.5 1.6413 2.1005 3646.0 110.5
28 126.47 17.935 10.028 48926.0 126.47
29 117.82 4.2118 3.5749 9617.2 117.82
30 109.61 1.5875 2.0484 5378.9 109.61
31 108.57 4.5329 4.1751 18534.0 108.57
32 107.01 1.689 2.2322 6054.7 107.01
33 110.31 0.86648 1.571 2842.8 110.31
<lo_statistics>
<cumulated_time> 71.557769 </cumulated_time>
</lo_statistics>
