0.16032E+01 0.66887E-02 0.00000E+01 142790 0 0 8063 0.50330E+04 0.00000E+01 0.16032E+01 0.00000E+01 0.00000E+01 0
1 1.6733 0.044916 1.752 35.186 1.6733
2 1.5927 0.021533 1.2479 19.861 1.5927
3 1.5989 0.012228 0.99831 20.037 1.5989
4 1.6115 0.048567 1.9671 49.967 1.6115
5 1.6182 0.023396 1.3345 29.25 1.6182
6 1.6147 0.012761 1.0316 13.607 1.6147
7 1.527 0.11397 3.4448 82.835 1.527
8 1.529 0.04764 2.0336 58.358 1.529
9 1.6151 0.022884 1.3078 26.535 1.6151
10 1.6025 0.045873 1.8684 40.853 1.6025
11 1.6184 0.02173 1.2393 24.639 1.6184
12 1.6114 0.012485 1.0114 16.311 1.6114
13 1.5499 0.047018 1.98 40.36 1.5499
14 1.6058 0.022368 1.2858 21.246 1.6058
15 1.585 0.012438 1.0244 13.772 1.585
<lo_statistics>
<cumulated_time> 28.173096 </cumulated_time>
</lo_statistics>
